,original,32,64,128,256,512,1024
0,1.1052745246820095e-09,9.71445146547012e-17,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,9.71445146547012e-17
1,6.858478913962518e-08,2.5676647419335674e-06,1.918382539628505e-09,6.245004513516506e-17,0.0,0.0,-3.469446951953614e-18
2,1.3150854122345734e-07,8.394239823251992e-05,3.4135881156853454e-06,1.0827325525736287e-08,1.2296066942418804e-13,0.0,0.0
3,-1.9039623982280984e-07,-8.465394660428158e-05,-3.3408849035507227e-06,-1.0590139071231519e-08,-1.20271848036424e-13,1.0408340855860843e-17,-3.469446951953614e-18
4,9.133653271209408e-09,1.0120298522819926e-10,4.423544863740858e-17,-2.0816681711721685e-17,-2.0816681711721685e-17,-1.9949319973733282e-17,-2.0816681711721685e-17
5,-4.601833418667323e-09,-8.928135748070831e-11,-5.811323644522304e-17,-8.673617379884035e-19,-2.6020852139652106e-18,-2.6020852139652106e-18,-2.6020852139652106e-18
6,7.792554743840663e-09,3.144550122296738e-07,3.729228688006958e-10,1.214306433183765e-17,1.734723475976807e-18,2.6020852139652106e-18,1.734723475976807e-18
7,4.734614263797107e-08,5.337395065046439e-06,3.426181725352598e-08,3.05527158655193e-08,1.3575001799742692e-11,4.336808689942018e-19,-4.336808689942018e-19
8,-4.6828931884145e-08,8.954307525647996e-06,-3.403036766009421e-08,-3.0040702563537136e-08,-1.3347449881462303e-11,8.673617379884035e-19,4.336808689942018e-19
9,4.4279654439621785e-09,-1.3335741685266325e-05,9.026981831299075e-10,4.1790789578888266e-14,0.0,4.336808689942018e-19,0.0
10,1.0353898094797587e-08,1.5440608506513652e-06,1.102818316412596e-05,4.314933996045489e-10,6.938893903907228e-18,0.0,0.0
11,1.1904271275762351e-08,3.3620633062636865e-05,2.1464081287141633e-06,1.3754193829880468e-09,1.1875494511370821e-11,0.0,4.336808689942018e-19
12,-2.3047985123290232e-08,-2.9680145942811032e-05,-1.2673746913615964e-05,-1.7631329595098333e-09,-1.1662869454920344e-11,-4.336808689942018e-19,0.0
13,4.375787324931851e-09,4.7228821012635334e-06,6.952087318705391e-07,1.9497134054816123e-09,4.90059381963448e-17,-8.673617379884035e-19,-4.336808689942018e-19
14,5.777232821475853e-09,-3.825347388878783e-06,-6.725933063634129e-07,-1.8539496253293375e-09,1.9936309547663456e-15,0.0,4.336808689942018e-19
15,1.8175513781092806e-08,3.2800592446357094e-07,7.166498255137092e-07,1.9266197448172817e-09,2.8873441906048652e-08,9.324138683375338e-17,2.168404344971009e-18
16,9.054854170761559e-08,1.5444458354820986e-05,1.8121953245233899e-06,1.0696505111781971e-05,1.0802418436714825e-07,1.978990448901416e-08,9.739323063306937e-13
17,-6.982817998433741e-08,4.3933510472693536e-05,4.1178535048784146e-07,-1.036773549699518e-05,-1.2984117199943065e-07,-1.967553122077942e-08,-9.699866777845845e-13
18,-3.735315265472952e-08,3.510047457859662e-06,-2.7403152398730417e-06,-3.113713045446373e-07,-6.069834415471653e-09,-3.4000245761195425e-11,-4.336808689942018e-19
19,-2.9262647931963676e-09,-4.1915192238605684e-05,-1.1786437262946078e-07,3.5985503357531534e-10,-8.868773770931426e-17,0.0,-2.168404344971009e-19
20,1.5779915013124785e-08,8.659203609572398e-06,2.4506284445136375e-06,2.92717987753887e-06,9.169919890691242e-10,1.5612511283791264e-17,1.5178830414797062e-18
21,-8.09474128113559e-09,-2.7288376163300907e-05,1.115655797948186e-05,2.163585965182964e-06,-9.050759798741315e-10,-1.431146867680866e-17,-4.336808689942018e-19
22,1.2231831704196533e-08,-1.284402767058471e-06,5.736397343537739e-06,-4.477813634824355e-06,7.352935136217993e-08,1.4263763781219296e-15,-4.336808689942018e-19
